སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
ནོར་བདུན་དམར་གསུམ་ཐང་།	བསིལ་བ། བཟི་མེད།	ནོར་བདུན་དམར་གསུམ་བུ་གའི་སྐྱོན་བསལ་ཞིང་། །བསྡུས་གྲང་བཏང་བས་ཁྲག་ཚད་མ་ལུས་བསད། །
ནོར་བུ་དབང་རྒྱལ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྨན་པས་བཅོས་བརྡུགས་ཀུན་ལ་འགྲོ། །མཆོག་ཏུ་རྩ་ཡི་ནད་རྣམས་སེལ། །
ནོར་བུ་དགུ་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཁྲག་རླུང་སྟོད་འཚངས་མི་བྱེར་ལམ་ནས་ལྡོག །ཁྱད་པར་སྟོད་གཟེར་ཡིན་ཀྱང་གནོད་མི་སྲིད། །
རྣ་སྨན་རྒྱལ་པོ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྣ་ནད་གཡའ་སྐྲངས་སྒྲ་བཅས་རྣག་འབྱུང་དང་། །སྲིན་དང་རླུང་སོགས་ནད་དང་འོན་པ་ལ། །བདུད་རྩི་ལྟ་བུ་ཕན་པ་མྱོང་བས་གྲུབ། །མི་ཏྲིས་གསར་སྤེལ་རྣ་སྨན་རྒྱལ་པོ་ཡིན། །
རྣམ་རྒྱལ་ཐང་ནག	བསིལ་བ། བཟི་མེད།	རྣམ་རྒྱལ་ཐང་ནག་སུམ་གཉིས་བསྡུས་ཐང་འདིས། །མ་སྨིན་འབྱེད་པ་རྩ་སྡོམ་དོན་སྣོད་སྲུང་། །སྨིན་པ་སེལ་ཞིང་གློ་ཚད་ཀླད་གཟེར་འཇོམས། །ཚད་རིམས་བལ་ནད་རྒྱུ་གཟེར་མཐའ་དག་ལ། །ཀུན་གྱི་སྔོན་དུ་གཏོང་བ་མན་ངག་ཡིན། །
རྣམ་གྲངས་བཅུ་དགུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཚེར་ནད་ཚ་གྲང་མེད་པར་འཇོམས།
རྣོ་མཆོག་དྲུག་སྦྱོར། 	བསིལ་བ། བཟི་མེད།	ཁྲག་མཁྲིས་གཉན་སོགས་མགོ་བོ་ན་བ་དང་། །ལིང་ཏོག་ལ་སོགས་མིག་གི་ནད་ལ་བསྔགས། །
གནམ་ལྕགས་ཟིལ་བའི་སྦྱོར་བ།	རང་བཞིན༔བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཆུ་སེར་མཛེ་འབྲས་མཁལ་རྩ་འགྲམས་བྱེར་དང་། །དྲེག་གྲུམ་རྐང་འབམ་ཡ་མ་མགོ་ཡི་ནད། །ཚད་རྙིང་རྙོགས་སོགས་སྦྱར་དགོས་ཀུན་ལ་བསྔགས། །
གནམ་ལྕགས་རྡོ་རྗེའི་སྦྱོར་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཁལ་འགྲམས་བྱེར་རྒྱས་ལྷུང་དང་མོ་ནད་དང་། །དྲེག་གྲུམ་རྐང་འབམ་ཚ་བ་རྙིང་རྙོགས་འཇོམས། །<98>
རྣག་འགུག་གླ་རྩི་སུམ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ལྕེ་སྟེང་བཞག་པས་སྐྲངས་པར་རྣག་ཁུ་ཅིང་། །མྱུར་དུ་འཚོ་བར་འགྱུར་བ་ཐེ་ཚོམ་མེད། །
སྣ་སྨན་ཉེས་པ་ཀུན་སེལ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བད་ཀན་ཁྲག་འཁྲུགས་ཁྱད་པར་འབམ་རིགས་དང་། །འདུ་བའི་ནད་དང་ཡ་མ་དཀར་ནག་དང་། །ཚ་རིམས་འགྲམས་གཟེར་སྟོད་འཁྲུགས་སེལ་བར་བྱེད། །ལྷག་པར་མིག་གི་དབང་བོ་གསལ་བར་བྱེད། །
སྣ་དུད་སྦྱོར་བ་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཕན་ཡོན་ཡ་མ་དཀར་ནག་ཁྲ་གསུམ་དང༌། །ལིང་ཏོག་སྐམ་ཚག་རབ་རིབ་སྣ་གཟེར་དང་། །གཉན་ནད་དབུགས་མི་བདེ་དང་མི་གཙང་གྲིབ་ལ་སོགས། །གཞོམ་པའི་མན་ངག་ཟབ་མོར་འཀོད། །
སྣོད་ཚད་སེལ་བའི་གུར་གུམ་བརྒྱུད་པ།	བསིལ་བ། བཟི་མེད།	རྒྱུ་གཟེར་དང་། གཉན་རིམས་རྒྱུ་གཟེར། ཚད་འཁྲུ་སོགས་ལ་ཕན།
པགས་བྱུགས་ཉེར་དྲུག	བསིལ་འབྲིང་། བཟི་ཆེ།	པགས་བྱུགས་ཉེར་དྲུག་ཕག་ཚིལ་མར་རྙིང་སོགས། །གང་འཕྲོད་རྟ་ལ་སྦྱར་ཏེ་བྱུགས་པ་དེ། །པགས་པའི་ནད་ཀུན་སེལ་བའི་སྤྱི་སྨན་ཡིན། །
པད་རག་མདོག་ལྡན།	ཅུང་བསིལ། བཟི་མེད།	པད་རག་མདོག་ལྡན་སྦྱོར་བ་འདིས། །ཚ་འཛག་གྲུང་འཛག་གྲང་འཐབ་དང་། །འགྲམས་ཁྲག་སྨད་དུ་ལྷུང་བ་དང་། །གཅིན་ཁ་སྙི་དང་འཆོར་བ་སོགས། །མཁལ་མའི་འགྲམས་ལ་འདི་རང་ཟབ། །
པི་པི་ལིང་ཆིག་ཐང་།	དྲོ་བ། བཟི་མེད།	གྲང་ནད་མ་ལུས་སེལ་བར་བྱེད། །
པི་ལིང་ལྔ་པ།	དྲོད་ཆེ། བཟི་མེད།	མཁལ་མ་གསོ་ཞིང་སྟོབས་སྐྱེད་ཕྲུ་གུ་འཁོར། །
དཔའ་བོ་དྲུག་པ།	བསིལ་བ། བཟི་ཆེ།<100>	དྲེག་དང་གྲུམ་བུ་ཆུ་སེར་ནད་ཀུན་དང་། །ཁྱད་པར་བར་རྟའི་ནད་ལ་ཤིན་ཏུ་ཕན། །
དཔའ་ལོ་བདུན་པ།	བསིལ་བ། བཟི་ཆེ།	རིམས་ནད་འབྲུམ་པ་རྒྱུ་གཟེར་དང་། །མགོ་གཟེར་སྟོད་གཟེར་གྲེ་འགག་དང་། །རྒྱུ་ནད་མིག་སེར་ལྷོག་རྒོད་དང་། །གཞང་འབྲུམ་མགོ་སྲིན་གླང་ཐབས་སེལ། །
དཔའ་པོ་བཅུ་བཞི།	བསིལ་བ། བཟི་མེད།	གཉན་ཚད་རིམས་ནད་སྤྱི་དང་ཁྱད་པར་དུ། །ཆམ་པའི་རིགས་ཀུན་དྲུངས་ནས་འབྱིན་པར་བྱེད། །ཁ་བསྒྱུར་གློ་འགོག་དཀའ་ན་སྟར་བུ་བསྣན། །གྲེ་བ་ཚ་ན་ལི་ཤི་དྲུག་པ་བསྡེབས། །གློ་མང་པ་ལ་སྲོ་ལོ་ཨ་ཀྲོང་བསྣན། །མགོ་བོ་ན་ན་ག་དུར་སྦྲུ་ནག་བསྣན། །ཡ་མར་བབས་ན་ཐང་ཕྲོམ་བྱི་ཏང་ག །རང་རང་ཁ་བསྒྱུར་བསྣན་པ་མཆོག་ཏུ་བསྔགས། །
དཔའ་བོ་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	དཔའ་བོ་ཉེར་ལྔའི་སྦྱོར་བ་འདི། །གསུམ་ལྔ་བདུན་སོགས་ནད་ཚབ་བསྟུན། །ཚ་དུག་ལས་གྱུར་སྦྱར་དུག་དང་། །ཤ་དུག་ཁྲག་གྱུར་གཡས་གཟེར་འཇོམས། །གྲང་དུག་ལས་གྱུར་གླང་ཐབས་དང༌། །ནད་དུག་ལས་གྱུར་དབུས་གཟེར་འཇོམས། །སྲིན་དུག་ལས་གྱུར་གླང་ཐབས་དང་། །གཉན་དུག་སྲིན་ཕོལ་གཡོན་གཟེར་འཇོམས། །མདོར་ན་སྦྱར་དུག་གྱུར་བའི་དུག །དངོས་དུག་ཟས་དུག་ཀུན་ལ་མཆོག །འུག་པ་ཆོས་སེང་ཁྱད་ཆོས་ཡིན། །སྤང་ཁྲག་བཅུ་གཉིས། (སྤང་རྩི་བཅུ་གཉིས་དང་རྒ་ལོ།)<101>
སྨན་དམར་བསྲེས་པ།	བསིལ་བ། བཟི་ཆེ།	སྤང་ཁྲག་བཅུ་གཉིས་གཉན་ཚད་ཁྲག་དང་བསྡོངས། །ལུས་འདར་གྲང་ཤུམ་ཆེ་ལ་མགོ་བོ་གཟེར། །མཚན་གཉིད་མི་ཁུག་ཉིན་མོ་གཉིད་ཆེ་ལ། །རྐང་ལག་ཚ་ཚིགས་ལུས་ཀུན་རུས་ཟུག་ཆེ། །གཉན་རིམས་གཉན་སྐྲངས་རྨ་ཤུ་ཡ་མའི་རིགས། །ལྷག་པར་མིག་ནད་དམར་ཚག་སྐམ་ཚག་སེལ། །
སྤང་ཁྲག་བཅོ་ལྔ།	ཅུང་བསིལ། བཟི་མེད།	བྲང་བསྡམས་པ། གློ་མང་བ། ལུད་པ་འགོག་དཀའ་བ། གྲེ་བ་ཚ་བ། གྲེ་བར་ཟ་འཁྲུགས་ལངས་པ། དབུགས་མི་བདེ་བ། སྐད་འགགས་པ། བྲང་ཚ་ལངས་པ། སྟོད་ན་བ། གྲེ་ཆམ་གྱི་ནད་དང་གློ་ཆམ་གྱི་ནད། གློ་ཡུའི་ནད། ཁྲག་གི་ནད་སོགས་ལ་ཕན།
སྤང་རྒྱན་ཆིག་ཐང་།	བསིལ་བ། བཟི་མེད།	འབྲུམ་པའི་གྲེ་འགགས་སེལ་བར་བྱེད།<102>
སྤང་རྒྱན་སུམ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གློ་ཚད་དབུགས་མི་བདེ་བ་དང་། གྲེ་བའི་ཚད་པ་སེལ་བར་བྱེད།
སྤང་རྒྱན་བཅུ་བ།	བསིལ་བ། བཟི་མེད།	སྤང་རྒྱན་བཅུ་བའི་སྦྱོར་བ་ཚད་ལྡན་འདིས། །གྲེ་བ་དང་ནི་གློ་ཡུར་གཉན་ཚད་རྒྱས། །གློ་མང་ལུ་ཞིང་ལུད་པ་འགོག་དཀའ་བ། །གྱེན་ལ་མི་འཕེར་དབུགས་ཧལ་དབུགས་བཀག་པར། །ཕན་པ་མྱོང་གྲུབ་འདི་རང་བསྔགས་པ་ཡིན། །
སྤང་རྒྱན་བཅུ་པའི་སྦང་ཁུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གྲེ་བ་དང་གློ་ཡུ་ལ་གཉན་ཚད་རྒྱས་ཏེ་གློ་མང་པོ་ལངས་པ་དང་། ལུད་པ་འགོག་དཀའ་བ། ལུད་པ་ཚི་ཅན་དོན་པ། དབུགས་ཧལ་བ། ཚ་བ་རྒྱས་པ། སྣ་ཆུ་དོན་པ། མིད་པ་ཚ་བ། ཁ་སྐམ་པ། དྲི་ཆུ་སེར་པོར་གྱུར་པ་སོགས་ལ་ཕན།
སྤང་རྒྱན་བཅོ་ལྔ།	བསིལ་བ། བཟི་མེད།	སྤང་རྒྱན་བཅོ་ལྔ་ཞེས་བྱའི་སྨན་མཆོག་འདིས། ཆམ་ཚད་གྲེ་བར་བབས་པས་དབུགས་མི་བདེ། །བད་རླུང་སྟོད་དུ་འཁྱིལ་དང་གཟེར་ཆེན་དང་། །ཁྱད་པར་བད་ཚད་སེལ་བར་འདི་རང་བསྔགས། །<103>
སྤང་རྒྱན་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཚ་བ་འོགྲམས་འཁྲུགས་རིམས་དུག་དང་། །ཁྲག་ནད་གྲེ་བ་འགག་ལ་མཆོག །གཏེར་ཁ་མི་དགོས་ཁྱད་ཆོས་ཡིན། །
སྤང་རྩིའི་ཆིག་ཐང་།	བསིལ་བ། བཟི་མེད།	འཁྲུགས་རིམས་སེལ་བར་བྱེད།
སྟོད་ལུགས་སྤང་རྩི་བཅུ་གཉིས།	བསིལ་བ། བཟི་ཆེ།	སྟོད་ལུགས་སྤང་རྩི་བཅུ་གཉིས་ཁྱད་མཚར་ཅན། །གཉན་ཚད་མ་ལུས་སེལ་བའི་མཆོག །རིམས་ནད་སྟོབས་ཆེན་འཇོམས་པའི་གཉེན་པོ་ཡིན། །
སྤོས་དཀར་བཅུ་བ།	ཅུང་བསིལ། བཟི་མེད།	སྤོས་དཀར་བཅུ་བའི་སྦྱོར་བ་ཚད་བཞིན་བསྟེན། །དྲེག་གྲུམ་ཆུ་སེར་ཀོར་ལེར་ཚ་འཁྱུག་འཇོམས། །
སྤོས་དཀར་བཅོ་བརྒྱད།	ཅུང་བསིལ། བཟི་འབྲིང་།	སྤོས་དཀར་བཅོ་བརྒྱད་ཆུ་བསྐོལ་དབུལ། །ཆུ་སེར་ཀོར་ལེར་བབས་པ་དང༌། །ཚ་འབྲས་ཚ་འཁྱུག་ཚ་འཁྲུགས་སེལ། །ཁྱད་པར་ཆུ་སེར་ནག་པོའི་རིགས། །མ་ལུས་ཡུལ་འབྱིན་གཉན་ནད་དང་། །དྲེག་གྲུམ་རྐང་འབམ་དག་ལ་བསྔགས། །<104>
སྤོས་ཁྱུང་བཅོ་ལྔ།	བསིལ་བ། བཟི་ཅུང་ཡོད།	སྤོས་ཁྱུང་བཅོ་ལྔ་ཚད་ལྡན་འདི་བསྟེན་པས། །དྲེག་གྲུམ་ཆུ་སེར་རྐང་འབམ་ཞ་རེངས་འཁུམ། །གཉན་རིགས་སྐྲངས་པོ་མཛེ་རིགས་བཅོ་བརྒྱད་འཇོམས། །
སྤོས་བཅུར་ཤུག་འབྲུ་ཁ་ཚར་ཅན།	བསིལ་བ། བཟི་མེད།	སྤོས་བཅུར་ཤུག་འབྲུ་ཁ་ཚར་བསྣན་པ་འདིས། །ཤ་པགས་ཆུ་སེར་གྲམ་ནས་ཟ་འཕྲུག་བརྒྱབ། །དྲེག་གྲུམ་རྐང་ལག་ཚ་འཁྱུག་ལངས་པ་འཇོམས། །
སྤོས་ཁྱུང་བཅུ་དགུ།	ཅུང་བསིལ། བཟི་ཡོད།	དྲེག་གྲུམ་སྲིན་ནད་གཉན་གཟེར་གག་ལྷོག་དང་། །ཆུ་སེར་མཛེ་ནད་ཀོ་ལེར་ཚ་འཁྱུག་དང་། ，། ཚ་བ་བསེ་དུག་འབམ་ནད་རིགས་རྣམས་ལ། །མཆོག་ཏུ་ཕན་པ་ཁོ་བོའི་མྱོང་གྲུབ་ཡིན། །
སྤོས་རེང་།	བསིལ་བ། བཟི་མེད།	སྤོས་རེང་རིགས་བཟང་ནུ་ཞོའམ་ཆུ་ཡིས་བྲན། །དྭངས་མ་མིག་ཏུ་བླུགས་པའི་ཕན་ཡོན་ནི། །མིག་འགྲིབ་རབ་རིབ་དམར་ཚག་སྐམ་ཚག་སོགས། །མིག་ནད་སྤྱི་ལས་གྱུར་པ་སེལ་བར་བྱེད། །<105>
སྤྱང་ལྕེ་བཅུ་གསུམ།	བསིལ་བ། བཟི་ཆེ།	སྤྱང་ལྕེ་བཅུ་གསུམ་ཞེས་གྲགས་པས། །གཉན་ནད་གྲིབ་དང་བསྡོངས་པ་དང་། །གག་པ་ལྷོག་པ་སྤུན་དགུ་དང་། །ཡ་མ་དཀར་ནག་ཨོལ་འགགས་ནད། །དེ་རིགས་ཀུན་འཇོམས་བདུད་རྩི་འདྲ། །
སྤྱི་འཇོམས་རྡོ་རྗེ་ཅན།	བསིལ་བ། བཟི་ཆེ།	སྤྱི་འཇོམས་རྡོ་རྗེ་ཅན་ཞེས་ཟུར་མཁར་ལུགས། མ་སྨིན་སྨིན་དང་བྱེར་སྡུད་ལ་སོགས་པ། །གྲངས་འདས་གསུང་ཀྱང་རྩ་ཆུ་འགགས་པ་ལ། །ཁྱད་པར་དུ་ཡང་འདི་ཉིད་བསྟེན་པར་བྱ། །
སྤྱི་འཇོམས་བདེ་བའི་མྱུ་གུ།	ཅུང་བསིལ། བཟི་མེད།	འདི་ཡིས་མི་སེལ་འགའ་ཡང་མེད། །ཁྱད་པར་ཀླད་གཟེར་སྟོད་གཟེར་དང་། །རྒྱུ་གཟེར་མཁྲིས་པ་རྩར་རྒྱུག་དང༌། །གག་ལྷོག་གཉན་དང་གཟའ་ཡི་ནད། །སྲིན་རིམས་ཡ་མ་དཀར་ནག་དང་། །ཆུ་སེར་དྲེག་གྲུམ་རྐང་འབམ་སོགས། །འཇོམས་ཤིང་སྦྲུམ་མས་སྤང་བྱ་ཡིན། །
སྤྱི་བཞུར་ཆིག་ཐང་།	བསིལ་བ། བཟི་མེད།<106>	སྤྱི་བཞུར་ཆིག་ཐང་རུས་པ་གས་པ་སྦྱོར། །བྱིས་པའི་ནད་རིགས་ཀུན་ལ་ཕན་ཞེས་གྲགས། །
སྤྱི་འཛོམས་ཝ་ཏ་བརྒྱད་སྦྱོར།	བསིལ་བ། བཟི་མེད།	གག་ལྷོག་གཟེར་གསུམ་ཡ་མ་སྲིན། །དྲེག་གྲུམ་ཆུ་སེར་རྐང་འབམ་དང་། །མོ་ནད་གཟའ་ཀླུ་གྲོལ་མ་དང་། །སྦྱངས་འབྲུམ་ཨོག་ནད་མེ་དབལ་དང་། །མཁལ་ནད་ཁ་མེད་རྩ་དཀར་ནད། །ཀོ་ལེར་གཟེར་འཁྱུག་ཤུ་ཐོར་དང་། །མདོར་ན་གཉན་སྲིན་ནད་ལ་བསྔགས། །ཁྱད་པར་མཁལ་མའི་ནད་ལ་མཆོག །
སྤུ་ནག་ཉི་ཤུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཁྲག་མཁྲིས་ཕོ་བར་ལྷུང་བ་དང་། །བད་ཀན་སྨུག་པོ་ཁྲག་སྐྲན་དུ་འདྲིལ་བ་དང་། །མེ་ཉམས་མ་ཞུ་གསར་རྙིང་དང༌། །ཕོ་ནད་ཚ་གྲང་མ་ལུས་སེལ་བར་བྱེད། །
སྤུ་ནག་ཉེར་དགུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	གཉན་རིམས་རྒྱུ་གཟེར་གྱིས་ཁྲག་ཏུ་འཁྲུ་བ་དང་། གཉན་ནད་གག་ལྷོག་གྲེ་འགག་ནད། ལྷ་འབྲུམ། གཉན་རིམས་མཁྲིས་པ་རྩར་རྒྱུགས་བཅས་འཛོམས་པར་བྱེད། །<107>
བདུད་རྩི་ཕ་ལ།	དྲོ་ལ་རྣོ། བཟི་མེད།	ཕ་ལ་རྩི་བཞིན་བཏགས་པ་ལིང་ཏོག་ལ། །སྐམ་འདེབས་བྱས་པས་ལིང་ཏོག་རྩད་ནས་གཅོད། །
ཕག་མོ་གྲུ་བ། (ཅོང་ཞི་བཅུ་གཅིག)	དྲོ་བ། བཟི་མེད།	ཕག་མོ་གྲུ་བའི་སྦྱོར་བ་འདིས། །ཕན་ཡོན་ལྷན་སྐྲན་མ་ཞུ་དང་། །བད་ཀན་སྐྱ་སྨུག་སྦོས་འགྲིལ་སྐྱུགས། །མདོར་ན་ཚ་རིམས་གསར་མ་གཏོགས། །མ་ལུས་བ་མོར་ཉི་ཕོག་བཞིན། །སྟོབས་འཕེལ་མདངས་རྒྱས་བཅུད་ལེན་གྱུར། །
ཕན་པ་ཀུན་ལྡན། (ཐང་ཁྲོམ་བཅུ་གཅིག)	བསིལ་ཆེ། བཟི་ཆེ།	ཕན་པ་ཀུན་ལྡན་ཞེས་པ་འདིས། །གག་ལྷོག་དང་ནི་འཁྱམས་པོ་དང་། །ལོག་འཁྲེབས་ཁོང་ཤོར་ཕྱིའི་ཆུ་འཐབ། །ཡ་མ་ཁ་མེད་གཉན་དང་ནི། །ལྕེ་འབམ་འཇོམས་ཤིང་ཁྱད་པར་དུ། །སྨན་བཏང་གཉིད་ལོག་རྣག་ཏུ་ཁུག །
ཕུར་ནག་དགུ་ཐང་།	བསིལ་བ། བཟི་ཅུང་ཡོད།<108>	ཕུར་ནག་དགུ་ཐང་གཏེར་མཛོད་དགོངས་དོན་འདིས། །གཉན་རིམས་ཕོ་བ་ལ་སོགས་སྣོད་བབས་རིགས། །གཉན་ནད་ཀུན་ལ་དང་པོ་འདི་རང་ཤིས། །
ཕན་བྱེད་ནོར་བུའི་སྦྱོར་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྩ་དཀར་དང་། རྩ་སྐྱོན་དང་། རྩ་ནད་གང་ཡིན་དང་། དྲེག་གྲུམ་དང་། རེངས་འཁུམས་དང་། ཆུ་སེར་རྩ་མིག་ལ་འགྲེམས་དང་། པགས་ནད་ཟ་འཕྲུག་དང་། མཛེ་ནད་སོགས་ལ་ཕན་པ་དང༌། ཡང་ན་རྩ་ནད་ཆུ་སེར་བསྡོངས་པའི་སྨན་མཆོག་ཡིན།
མོ་གླང་འཇོམས་པའི་རྡོ་རྗེ།	ཅུང་བསིལ། བཟི་མེད།	མཛེ་དང་དམུ་འོར་དྲེག་དང་གྲུམ། །འབྲས་སོགས་འཇོམས་པར་ཐེ་ཚོམ་མེད། །
ཕོ་ཚད་སེལ་བའི་ག་བུར་དགུ་པ།	བསིལ་བ། བཟི་མེད།	ཕོ་བའི་ཚད་པ་སེལ་བར་བྱེད།
འཕུར་ལེབ་བཞི་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	དུག་རིགས་མ་ལུས་འཇོམས་པར་བྱེད།<109>
འཕྲུལ་ཐང་།	བསིལ་འབྲིང་། བཟི་མེད།	འཕྲུལ་ཐང་རིལ་བུ་གདུས་ཁུ་བཏང་བ་འདིས། །རླུང་ཁྲག་སྟོད་འཚངས་རིགས་དང་ལྷག་པར་དུ། །རིམས་ཚད་གཉན་སོགས་སྨིན་སྡུད་བྱེད་པ་ཡིན། །གློ་མང་སྐོམ་ཚད་ཆེ་ལ་རླུང་ཚད་སྐྱེས། །ཁྱབ་གདལ་རང་བཞིན་ཆམ་རིམས་སྔོན་འགོག་ཐུབ། །མདོར་ན་སྣེ་མང་འདྲེས་པའི་ནད་ལ་བསྔགས། །
འཕྲུལ་ཐང་དྲུག་པ།	ཅུང་དྲོ་བ། བཟི་མེད།	ཕོ་བའི་གྲང་སྐྲན་མ་ལུས་བཤིག་པར་བྱེད། །
འཕྲུལ་བྲག་ཐང་།	བསིལ་བ། བཟི་མེད།	འཕྲུལ་བྲོག་ཐང་འདི་གདུས་ཁུ་བཏང་བ་ཡིས། །ཚད་རིམས་མ་སྨིན་སྨིན་པར་བྱེད་པ་དང་། །མཆིན་ཚད་ཐུར་བབས་རྒྱུ་གཟེར་འཁྲུ་བ་གཅོད། །
འཕྲུལ་ཐང་བཅུ་གཉིས།	བསིལ་བ། བཟི་མེད།	ཚ་བ་མ་སྨིན་པའི་ནད་དུང་། རིམས་འཁྲུགས་ནད། ཟུངས་ངན་བཅས་ལ་ཕན།<110>
བ་རུའི་ཆིག་ཐང་།	བསིལ་བ། བཟི་མེད།	བ་རུའི་ཆིག་ཐང་ཆུ་སེར་ནག་པོ་སྐེམ།
བ་སྤྲུ་སུམ་ཐང་། །	དྲོ་བ། བཟི་མེད།	སྨད་གྲང་ཆུ་སེར་མངལ་ནད་དག་ལ་ཕན།
བ་སྤྲུ་བདུན་པ།	མོ་ནད་ཁྲག་ཚབས་རླུང་ཚབས་མངལ་སྐྲན་བཤིག །
བི་མ་ལ། (ཛཱ་ཏི་ཉི་ཤུ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བི་མ་མི་ཏྲའི་སྦྱོར་བ་འདི། །གསོ་དཔྱད་བརྒྱད་ཁྲི་བཞི་སྟོང་ལས། །ཁྱད་པར་སྙིང་རླུང་བཅོས་ཐབས་ནི། །རྟགས་ནི་སྙིང་མི་དགའ་བ་དང་། །ཤེས་པ་འཕྱོ་ཞིང་བློ་འཚུབ་པ། །རོ་སྟོད་མདུན་རྒྱབ་གཟེར་ཞིང་འཐེམ། །དྲན་པ་མི་གསལ་བརྗེད་ངས་ཆེ། །ཡིད་མུག་ག་ཆད་སྡོད་མི་ཚུགས། །ཞེ་སྡང་བྱིང་རྒོད་དབུགས་སྣ་ཐུང་། །ཚབས་ཆེ་བརྒྱལ་དང་སྣ་ཚོགས་ནད། །འབྱུང་ཕྱིར་སྨན་གྱི་གསོ་ཐབས་བསྟན། །
བུ་བཙས་ཙན་དན་བཅོ་བརྒྱད།	བསིལ་ཆེ། བཟི་མེད།<111>	བུ་བཙས་ཙན་དན་བཅོ་བརྒྱད་ཚད་སྦྱར་འདིས། །བུད་མེད་རིམས་ཀྱིས་བཏབ་པའི་ནད་དག་དང་། །བཙས་རྗེས་ཚད་པ་སྐྱེས་པ་སེལ་བར་བྱེད། །
བེ་ཁྲག་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མགུལ་འགགས་གྲེ་ཐོག་ཕོ་ནད་ངེས་པར་འཇོམས། །
བོང་དཀར་བཞི་ཐང་།	བསིལ་བ། བཟི་མེད།	བོང་དཀར་བཞི་ཐང་སྐད་འགགས་ཚ་སྐམ་སེལ། །
འབྲི་ལུགས་བོང་དཀར་བཅུ་བ།	བསིལ་བ། བཟི་མེད།	འབྲི་ལུགས་བོང་དཀར་བཅུ་བ་ནི། །སྨན་རྟ་ཀ་རའི་རྟ་ལ་སྐྱོན། །གུང་གཉིས་ཁོལ་ཙམ་ཆུ་ཡིས་ཕུལ། །བཏང་བས་ཆུ་རྣམས་ཕྱིར་དབྱུང་ཞིང་། །སྟོད་ནས་གཉེར་མི་ཆུམ་མེར་འགྲོ། །
བོང་དཀར་བཅུ་གསུམ།	བསིལ་བ། བཟི་མེད།	ཁྲག་དང་མཁྲིས་པ་གཉིས་རང་གི་ལྡང་ཚད་ལས་ལྷག་པར་འཕེལ་བའི་མཁྲིས་ཚད་དང་། མཆིན་པར་ཚད་རྙིང་ཞེན་པའི་ནད། མ་ཞུ་བ་དང་། བད་རླུང་གྲང་བས་མཁྲིས་པའི་གོ་ཡུལ་འཕྲོག་པའི་གྲང་མཁྲིས་བཅས་ལ་ཕན།<112>
བོང་ཁྲག་ཉེར་ལྔ། (མགྲིན་མཚལ་ཉེར་ལྔ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	དྭངས་མ་གནས་འཇོག་ཆུ་སེར་རང་སར་སྐེམ། །དྲེག་དང་གྲུམ་བུ་མིང་གི་ལྷག་མར་བྱེད། །
བོང་དམར་བདུན་པ།	བསིལ་བ། བཟི་མེད།	བོང་དམར་བདུན་པའི་སྦྱོར་བ་འདིས། །སྟོད་ཀྱི་འཁྲུགས་དང་སྐད་འགགས་ལ། །འདི་ལས་ལྷག་པའི་གདམས་པ་མེད། །
བད་ཀན་སེལ་བྱེད་ཁྲོ་ཆུ་ཁོལ་མའི་སྨན།	དྲོ་བ། བཟི་མེད།	བད་ཀན་གྱི་ནད་ལ་མཆོག་ཏུ་ཕན་ནོ། །
བྱ་མོ་ཁྱད་པའི་བདུད་རྩི་སུམ་སྦྱོར།	བསིལ་བ། བཟི་མེད།	བྱ་མོ་ཁུད་པའི་བདུད་རྩི་གསུམ་སྦྱོར་འདིས། །མགོ་བོའི་རྨ་རིགས་ཆེ་ཆུང་མཐའ་དག་ལ། །དྲས་འཆོས་མེས་གཞོབ་ལ་སོགས་མི་དགོས་པར། །ཟླུམ་འཆོས་སྨན་གྱིས་ཚེགས་མེད་གསོ་བར་བྱེད། །
